customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure
0001-VHVEG,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),57.45,1747.68,1,45
0002-VHVEG,Male,1,No,No,Yes,No,No,No,No internet service,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),115.07,4922.92,0,2
0003-VHVEG,Male,1,Yes,No,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,93.2,7869.22,1,20
0004-VHVEG,Male,1,Yes,Yes,No,No,DSL,No,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),79.87,6616.8,0,69
0005-VHVEG,Female,0,Yes,Yes,No,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,35.6,7278.39,1,35
0006-VHVEG,Female,0,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),35.6,5963.17,1,55
0007-VHVEG,Female,0,No,Yes,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.81,6261.26,1,51
0008-VHVEG,Male,0,No,Yes,No,No phone service,No,Yes,Yes,No internet service,No,No,No,Two year,No,Bank transfer (automatic),106.62,7657.84,0,61
0009-VHVEG,Male,1,No,No,No,No phone service,DSL,Yes,No,No internet service,No,Yes,No,One year,No,Credit card (automatic),80.11,2322.05,1,33
0010-VHVEG,Male,0,Yes,Yes,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),90.81,4455.88,1,40
0011-VHVEG,Male,1,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),22.06,2068.76,1,67
