customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bin,Customer_Status_Predicted
0001-VHVEG,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),57.45,1747.68,1,37-48,1
0002-VHVEG,Male,1,No,No,Yes,No,No,No,No internet service,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),115.07,4922.92,0,0-12,1
0003-VHVEG,Male,1,Yes,No,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,93.2,7869.22,1,13-24,1
0004-VHVEG,Male,1,Yes,Yes,No,No,DSL,No,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),79.87,6616.8,0,61-72,0
0005-VHVEG,Female,0,Yes,Yes,No,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,35.6,7278.39,1,25-36,0
0006-VHVEG,Female,0,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),35.6,5963.17,1,49-60,0
0007-VHVEG,Female,0,No,Yes,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.81,6261.26,1,49-60,0
0008-VHVEG,Male,0,No,Yes,No,No phone service,No,Yes,Yes,No internet service,No,No,No,Two year,No,Bank transfer (automatic),106.62,7657.84,0,61-72,0
0009-VHVEG,Male,1,No,No,No,No phone service,DSL,Yes,No,No internet service,No,Yes,No,One year,No,Credit card (automatic),80.11,2322.05,1,25-36,0
0010-VHVEG,Male,0,Yes,Yes,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),90.81,4455.88,1,37-48,1
0011-VHVEG,Male,1,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),22.06,2068.76,1,61-72,1
0012-VHVEG,Female,1,No,Yes,No,No,Fiber optic,No,No,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),116.99,8890.25,0,49-60,0
0013-VHVEG,Male,1,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,103.24,8502.13,1,37-48,1
0014-VHVEG,Male,0,No,No,No,No phone service,No,No,No internet service,No internet service,Yes,No,No internet service,One year,No,Credit card (automatic),41.23,450.9,1,25-36,0
0015-VHVEG,Female,1,No,No,No,No phone service,No,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,38.18,6379.62,1,0-12,0
0016-VHVEG,Female,0,Yes,Yes,Yes,No phone service,DSL,No,Yes,No internet service,No,Yes,No,Two year,Yes,Electronic check,38.34,8334.71,1,13-24,1
0017-VHVEG,Male,0,Yes,No,No,No,No,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,50.42,1707.12,0,49-60,0
0018-VHVEG,Female,1,Yes,No,No,No,No,Yes,Yes,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,72.48,5154.71,1,0-12,0
0019-VHVEG,Female,0,Yes,Yes,No,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),63.19,8247.85,1,0-12,0
0020-VHVEG,Male,1,No,Yes,No,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),49.12,402.12,1,25-36,0
0021-VHVEG,Female,0,Yes,No,Yes,Yes,No,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),81.19,6307.04,0,61-72,1
0022-VHVEG,Female,0,No,Yes,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),33.95,2746.41,1,37-48,1
